1,people,人們
2,person,個人
3,thing,東西
4,girl,女孩
5,man,男人
6,woman,女人
7,family,家庭 / 家人
8,father,父親 / 爸爸
9,mother,媽媽
10,brother,兄弟
11,sister,姊妹
12,son,兒子
13,daughter,女兒
14,parent,雙親之一
15,grandparent,祖父母 / 外祖父母 (單數)
16,baby,嬰兒
17,child,小孩
18,husband,丈夫
19,wife,妻子
20,uncle,舅舅、叔叔、伯父
21,aunt,舅媽、嬸 嬸、伯母
22,cousin,表 / 堂兄 弟姐妹
23,friend,朋友
24,neighbor,鄰居
25,every,每一個
26,each,每一個(強調)
27,everyone,每個人 / 大家
28,someone,某人(s......)
29,anyone,任何人(a.....)
30,nobody,沒有人
31,foreigner,外國人
32,foreign,(adj) 外國的
33,fine,安好的
34,glad,高興的
35,mad,瘋狂的(m..)
36,crazy,瘋狂的
37,angry,生氣的
38,mad,生氣的(m..)
39,happy,快樂的
40,afraid,害怕
41,scared,害怕的
42,scary,可怕的 嚇人的
43,tired,厭倦的
44,bored,感到厭煩的 無聊的
45,boring,乏味的 無趣的
46,excite,(v) 使興奮
47,excited,感到興奮的
48,exciting,令人興奮的
49,calm,冷靜沉著 平靜的
50,nervous,緊張的
51,relaxed,放鬆的
52,prepared,(adj) 準備好的
53,prepare,(v) 準備
54,surprised,訝異的
55,sleepy,睏的
56,shy,害羞的
57,new,新的
58,old,老的 舊的
59,young,年輕的
60,weak,弱的
61,strong,強壯的
62,fat,胖的
63,thin,薄的 瘦的
64,thick,厚的
65,long,長的
66,short,矮的 短的
67,tall,高的
68,high,高的 抽象的
69,low,低的 低聲的
70,loud,大聲的
71,deep,深的
72,far,遠的
73,near,在附近
74,wide,寬的
75,narrow,窄的
76,empty,空的
77,full,充滿的
78,whole,全部的 / 完整的
79,enough,足夠的
80,big,大的
81,large,大的 多的
82,small,小的
83,same,同樣的
84,different,不同的
85,difficult,困難的
86,easy,容易的 輕鬆的
87,lazy,懶惰的
88,clean,乾淨的 (v) 清潔
89,clear,清楚的
90,dirty,髒的
91,messy,雜亂的
92,dark,黑暗的
93,heavy,重的
94,light,輕的 / (n) 光
95,hard,硬的
96,hard,困難的
97,soft,軟的
98,expensive,貴的
99,cheap,便宜的
100,free,免費的 / 自由的
101,left,左邊
102,right,右方 / 對的
103,correct,正確的 對的
104,wrong,錯的
105,true,真的
106,false,假的 / 不實的
107,real,真的
108,other,其他的
109,favorite,最喜愛的
110,ready,準備好的
111,sorry,抱歉地 / 難過地
112,sure,確定 當然
113,quiet,安靜的
114,noisy,吵鬧的
115,welcome,歡迎
116,dangerous,危險的
117,safe,安全的
118,great,很棒的 / 偉大的
119,nice,好的 指 個性
120,kind,仁慈的 和藹的
121,selfish,自私的
122,funny,好笑的 滑稽的
123,clever,聰明的
124,smart,聰明的
125,beautiful,漂亮的
126,pretty,漂亮的
127,ugly,醜的
128,busy,忙碌的
129,careful,小心的
130,careless,不小心的
131,useful,有用的
132,confident,有信心的
133,patient,有耐心的 / (n) 病人
134,proud,驕傲的 / 得意的
135,friendly,友善的 親切的
